annee_mise_en_service,departement,nb_borne,TMJA,ratio_borne_TMJA,ratio_TMJA_borne
2020,Tarn-et-Garonne,4,46349.69230769231,8.630046502673654e-05,11587.423076923078
2020,Territoire de Belfort,5,21268.11363636364,0.00023509372224959042,4253.622727272728
2020,Val-d'Oise,18,87498.74074074074,0.00020571724630111078,4861.041152263375
2020,Val-de-Marne,102,113175.55555555556,0.0009012546878988395,1109.5642701525055
2020,Var,359,44751.944444444445,0.008021997802702551,124.65722686474776
2020,Vaucluse,63,23040.777777777777,0.0027342826968611207,365.7266313932981
2020,Vendée,23,19082.846153846152,0.001205270944102033,829.6889632107022
2020,Vienne,14,19337.70833333333,0.000723974100688422,1381.2648809523805
2020,Vosges,4,12366.0,0.00032346757237586933,3091.5
2020,Yonne,9,14403.186046511628,0.0006248617473201181,1600.3540051679586
2020,Yvelines,96,51830.625,0.0018521868104040807,539.90234375
2021,Ain,17,33590.30952380953,0.000506098343272188,1975.9005602240898
2021,Aisne,17,21064.58333333333,0.0008070418356245675,1239.0931372549016
2021,Allier,87,11773.79411764706,0.007389291772106048,135.33096686950643
2021,Alpes-Maritimes,281,64113.230769230766,0.004382870690317131,228.16096359156856
2021,Alpes-de-Haute-Provence,16,6236.038461538462,0.0025657314493298874,389.75240384615387
2021,Ardennes,50,,,
2021,Ardèche,34,11141.07142857143,0.0030517711171662125,327.67857142857144
2021,Ariège,8,12251.227272727272,0.0006529958037599202,1531.403409090909
2021,Aube,29,15852.636363636364,0.0018293487174487753,546.6426332288402
2021,Aude,69,48716.27272727273,0.00141636451512375,706.0329380764164
2021,Aveyron,42,12808.326086956522,0.0032791170145778136,304.96014492753625
2021,Bas-Rhin,192,60378.5504587156,0.0031799372217668886,314.4716169724771
2021,Bouches-du-Rhône,766,67540.25974025975,0.011341383686497711,88.1726628462921
2021,Calvados,61,35779.38888888889,0.0017048921710047218,586.547358834244
2021,Cantal,24,8047.285714285715,0.0029823720509133513,335.30357142857144
2021,Charente,58,19481.74358974359,0.0029771462565873637,335.8921308576481
2021,Charente-Maritime,66,23352.846153846152,0.0028262079733321916,353.8310023310023
2021,Cher,78,19941.125,0.003911514520870813,255.65544871794873
2021,Corrèze,9,23310.571428571428,0.0003860909213477638,2590.063492063492
2021,Côte-d'Or,125,36131.07407407407,0.003459625909369077,289.04859259259257
2021,Côtes-d'Armor,27,32745.272727272728,0.0008245464994253161,1212.7878787878788
2021,Deux-Sèvres,32,17118.217391304348,0.0018693535237059933,534.9442934782609
2021,Dordogne,52,12844.5,0.004048425396083927,247.0096153846154
2021,Doubs,27,19108.114285714284,0.0014130122730208858,707.7079365079364
2021,Drôme,43,19800.380116959062,0.0021716754802687055,460.4739562083503
2021,Essonne,134,64850.619047619046,0.0020662871375461407,483.9598436389481
2021,Eure,11,21956.378787878788,0.0005009933608028591,1996.034435261708
2021,Eure-et-Loir,38,31604.106666666667,0.0012023753875023836,831.6870175438596
2021,Finistère,52,25727.13793103448,0.0020212120034258743,494.7526525198938
2021,Gard,138,29390.14285714286,0.004695451827872318,212.972049689441
2021,Gers,15,10344.17857142857,0.0014500909759457528,689.6119047619047
2021,Gironde,280,56157.6129032258,0.00498596691569695,200.56290322580645
2021,Haut-Rhin,72,31982.533333333333,0.0022512287957176624,444.20185185185187
2021,Haute-Garonne,302,53704.42857142857,0.005623372374185688,177.82923368022705
2021,Haute-Loire,23,10279.75,0.0022374084972883583,446.94565217391306
2021,Haute-Marne,9,12322.184210526317,0.0007303899898129817,1369.1315789473686
2021,Haute-Savoie,38,33428.44,0.0011367566060516135,879.6957894736843
2021,Haute-Vienne,57,25147.625,0.002266615634677231,441.18640350877195
2021,Hautes-Alpes,15,10054.46,0.0014918752474026454,670.2973333333333
2021,Hautes-Pyrénées,20,19493.0,0.0010260093366849638,974.65
2021,Hauts-de-Seine,636,73716.25,0.008627677072558628,115.90605345911949
2021,Hérault,97,38399.03571428572,0.00252610510122557,395.86634756995585
2021,Ille-et-Vilaine,67,52015.43333333333,0.001288079243147707,776.349751243781
2021,Indre,4,22896.545454545456,0.0001746988430172078,5724.136363636364
2021,Indre-et-Loire,64,22362.53846153846,0.0028619291190968414,349.41466346153845
2021,Isère,166,36819.48387096774,0.004508482535543944,221.80411970462495
2021,Jura,18,11986.0,0.0015017520440513933,665.8888888888889
2021,Landes,41,21435.91304347826,0.0019126780332071737,522.8271474019087
2021,Loir-et-Cher,40,16305.96,0.002453090771717826,407.649
2021,Loire,107,35487.530303030304,0.0030151436035790635,331.6591617105636
2021,Loire-Atlantique,475,57221.28767123288,0.008301106447116863,120.46586878154291
2021,Loiret,73,21702.82608695652,0.003363617240792123,297.29898749255506
2021,Lot,133,15592.857142857143,0.00852954649564819,117.23952738990333
2021,Lot-et-Garonne,21,9466.125,0.002218436794358832,450.76785714285717
2021,Lozère,6,6040.257142857143,0.0009933351938659187,1006.7095238095238
2021,Maine-et-Loire,416,35169.694444444445,0.011828365488279445,84.54253472222223
2021,Manche,130,21190.20588235294,0.006134909718279949,163.00158371040723
2021,Marne,59,19169.866666666665,0.0030777470196280275,324.9129943502825
2021,Mayenne,25,11760.806451612903,0.0021257045682076883,470.43225806451613
2021,Meurthe-et-Moselle,49,49185.69230769231,0.0009962246682118313,1003.7896389324961
2021,Meuse,15,12053.111111111111,0.001244491970722174,803.5407407407407
2021,Morbihan,37,45163.125,0.000819252432155658,1220.625
2021,Moselle,36,42402.01612903226,0.0008490162328708503,1177.8337813620071
2021,Nord,514,21715.75,0.02366945650046625,42.24854085603113
2021,Oise,74,42310.0,0.0017489955093358545,571.7567567567568
2021,Orne,36,8071.846153846154,0.0044599462519297845,224.21794871794873
2021,Paris,2401,41672.0,0.057616625071990786,17.3561016243232
2021,Pas-de-Calais,277,23824.03448275862,0.011626913997310744,86.0073447030997
2021,Puy-de-Dôme,25,36121.833333333336,0.0006921021911955373,1444.8733333333334
2021,Pyrénées-Atlantiques,24,14849.17543859649,0.0016162513601676743,618.7156432748537
2021,Pyrénées-Orientales,79,7136.590361445783,0.011069712005159226,90.3365868537441
2021,Rhône,436,42225.58260869565,0.010325494003017334,96.84766653370562
2021,Sarthe,72,20683.05,0.0034811113447968263,287.26458333333335
