departement,Annee,NB_VP_RECHARGEABLES_EL,NB_VP_RECHARGEABLES_GAZ,NB_VP,nb_borne,cumsum_borne,nb_el/borne,borne/nb_el
Oise,2023,24936,44,1144590,207,441,56.54,0.02
Oise,2024,24076,46,1104696,975,1416,17.0,0.06
Orne,2020,1095,6,291849,3,203,5.39,0.19
Orne,2021,1748,10,283199,36,239,7.31,0.14
Orne,2022,2581,9,286807,39,278,9.28,0.11
Orne,2023,3788,9,304382,79,357,10.61,0.09
Orne,2024,4558,10,291617,162,519,8.78,0.11
Paris,2020,21284,165,1134114,256,256,83.14,0.01
Paris,2021,34605,163,1141260,2401,2657,13.02,0.08
Paris,2022,47874,172,1148236,1697,4354,11.0,0.09
Paris,2023,68039,267,1175290,1830,6184,11.0,0.09
Paris,2024,87957,259,1232080,435,6619,13.29,0.08
Pas-de-Calais,2020,5596,40,1355307,119,232,24.12,0.04
Pas-de-Calais,2021,10325,37,1387882,277,509,20.28,0.05
Pas-de-Calais,2022,16260,42,1391776,419,928,17.52,0.06
Pas-de-Calais,2023,24734,52,1420045,516,1444,17.13,0.06
Pas-de-Calais,2024,32778,52,1445862,1013,2457,13.34,0.07
Puy-de-Dôme,2020,3350,34,654720,27,46,72.83,0.01
Puy-de-Dôme,2021,5939,35,662495,25,71,83.65,0.01
Puy-de-Dôme,2022,8768,39,674847,281,352,24.91,0.04
Puy-de-Dôme,2023,12646,42,677283,304,656,19.28,0.05
Puy-de-Dôme,2024,16178,44,689245,590,1246,12.98,0.08
Pyrénées-Atlantiques,2020,3728,24,689678,114,130,28.68,0.03
Pyrénées-Atlantiques,2021,6734,22,698364,24,154,43.73,0.02
Pyrénées-Atlantiques,2022,9775,47,699595,118,272,35.94,0.03
Pyrénées-Atlantiques,2023,13741,52,710007,234,506,27.16,0.04
Pyrénées-Atlantiques,2024,17210,52,717529,718,1224,14.06,0.07
Pyrénées-Orientales,2020,2284,6,506610,28,84,27.19,0.04
Pyrénées-Orientales,2021,4459,9,499152,79,163,27.36,0.04
Pyrénées-Orientales,2022,6697,10,513097,183,346,19.36,0.05
Pyrénées-Orientales,2023,9905,10,530578,153,499,19.85,0.05
Pyrénées-Orientales,2024,13007,13,557691,432,931,13.97,0.07
Rhône,2020,13538,180,1561281,233,297,45.58,0.02
Rhône,2021,24812,187,1589132,436,733,33.85,0.03
Rhône,2022,35408,206,1639941,490,1223,28.95,0.03
Rhône,2023,49879,204,1631942,401,1624,30.71,0.03
Rhône,2024,62202,212,1641606,802,2426,25.64,0.04
Sarthe,2020,2268,14,530316,26,51,44.47,0.02
Sarthe,2021,4278,17,551896,72,123,34.78,0.03
Sarthe,2022,6074,17,538889,111,234,25.96,0.04
Sarthe,2023,8637,18,549235,185,419,20.61,0.05
Sarthe,2024,11217,19,559248,263,682,16.45,0.06
Savoie,2020,3094,43,452034,140,180,17.19,0.06
Savoie,2021,5336,38,457502,56,236,22.61,0.04
Savoie,2022,7678,40,466308,246,482,15.93,0.06
Savoie,2023,11077,44,479900,295,777,14.26,0.07
Savoie,2024,13646,43,479229,475,1252,10.9,0.09
Saône-et-Loire,2021,3924,22,525975,24,44,89.18,0.01
Saône-et-Loire,2022,5566,20,523380,162,206,27.02,0.04
Saône-et-Loire,2023,8099,21,538797,111,317,25.55,0.04
Saône-et-Loire,2024,10471,24,547431,525,842,12.44,0.08
Seine-Maritime,2020,7337,81,1264304,30,54,135.87,0.01
Seine-Maritime,2021,13411,86,1276452,126,180,74.51,0.01
Seine-Maritime,2022,21271,85,1284716,337,517,41.14,0.02
Seine-Maritime,2023,32724,99,1308516,619,1136,28.81,0.03
Seine-Maritime,2024,38562,95,1321909,848,1984,19.44,0.05
Seine-Saint-Denis,2020,6046,99,1031067,5,5,1209.2,0.0
Seine-Saint-Denis,2021,11124,314,1188196,193,198,56.18,0.02
Seine-Saint-Denis,2022,14222,117,1082327,441,639,22.26,0.04
Seine-Saint-Denis,2023,23199,127,1129266,303,942,24.63,0.04
Seine-Saint-Denis,2024,37270,129,1296135,874,1816,20.52,0.05
Seine-et-Marne,2020,7931,287,1321511,42,420,18.88,0.05
Seine-et-Marne,2021,13940,293,1359189,127,547,25.48,0.04
Seine-et-Marne,2022,20551,288,1356319,577,1124,18.28,0.05
Seine-et-Marne,2023,29851,292,1367348,1070,2194,13.61,0.07
Seine-et-Marne,2024,39421,204,1421434,1374,3568,11.05,0.09
Somme,2020,2251,11,564236,9,49,45.94,0.02
Somme,2021,4338,10,564811,44,93,46.65,0.02
Somme,2022,6806,10,574644,42,135,50.41,0.02
